single_mandate,attendance,early,outside,adm_voters,smart_voters,spoilers,opposition,declined
1,24.31011366948412,1.2972376750431611,11.708708996738922,38.691732207941676,33.965566852100515,1,3,0
2,20.929848238631667,1.5659955257270697,8.153704434794053,37.05487564153179,39.71838399789447,1,3,2
3,20.91936990625906,1.919720767888308,7.160455805358793,32.838004311672314,34.847551586079454,1,2,4
4,20.94687617996457,1.9551290939848585,5.224770514989323,41.140907956404774,34.93718627804431,1,3,1
5,22.16084109044425,1.590730058699464,6.594160546845221,47.07137956445507,5.580260717099079,0,3,3
6,22.5514057452196,1.5075620084694494,10.531155474894131,27.70477918935268,40.4888082274652,1,3,1
7,21.3045292399551,2.170914708154033,9.748427672955977,35.60906984442238,35.23115966015668,1,3,0
8,23.229029743309606,1.7980500710401257,8.522365391210622,-1,36.5268727646857,2,4,2
9,21.853158602150536,1.8067194587529791,8.290407729171472,39.92721867712258,38.61254196458318,1,3,3
10,21.56076374199735,0.9993721222268732,8.800753453327752,40.5425910422771,28.21787358727501,1,3,0
11,20.73845318491872,1.7345769923089511,7.71286750668194,33.183330606011026,43.023509518354885,0,3,2
12,22.571088514579937,1.7825414111308535,8.187654037943487,40.77205250186278,37.50501518885768,2,2,0
13,21.69741788074589,1.2710185132763403,8.342297457962973,31.817924474891022,25.261846798392124,1,3,1
14,23.11662052629413,1.3832032342546212,7.902565536881182,22.728775204047906,39.23313585395002,2,3,3
15,21.81270167724549,1.2452449848814904,6.993529928146439,31.83015248561303,42.120492895926134,2,2,0
16,23.049292510700948,1.1946654049738297,5.979241210042287,30.809947659461212,36.3515391666913,2,3,0
17,20.20390010263428,1.2157951774586833,6.180574370089406,28.169872663234894,45.73625033866161,0,3,0
18,25.43389126039092,1.0572516976757025,7.9638933362778115,23.149119416993326,42.08579473306466,0,4,0
19,20.85868458001817,1.1944829406718145,7.536461426780176,38.13766250907411,40.16366396093183,1,2,0
20,23.484702248817683,1.6310490085276894,5.691975752594267,-1,44.939895201890465,1,4,1
21,19.817049076683965,1.0401781263500711,10.129274533913796,17.819281512744674,57.26961549965106,0,3,0
22,22.290909569705587,0.9746300835819132,5.989544877285212,44.862518089725036,32.54083109365309,1,3,0
23,20.50472536598423,1.3489088231356272,8.7561922613469,40.56433257464185,36.08916856339537,1,2,4
24,23.13221620811501,1.619735858460005,10.842262646399202,32.99526538749065,38.88113630700224,2,3,0
25,21.73208774943097,1.1276746128638435,9.853498682773244,37.2678789436484,33.695302962153825,3,3,3
26,20.18169142336805,1.4840142408967536,7.592794952236597,37.199055306849026,13.074130212555959,1,3,0
27,21.69747551386398,1.630797596719331,5.9605175318689,41.14505515465556,35.10824299837874,1,3,0
28,20.817882660692792,1.4403635999064266,8.792567590148046,38.66590916686161,23.36664104534973,0,3,1
29,18.917342988290653,1.684527436292606,7.40116841690262,41.432206730941544,33.28912942188452,0,3,1
30,21.88513753184354,0.9312194259444804,5.301467554664938,28.422820769729476,24.59480167383745,1,4,3
31,20.60602294851084,2.057158173350756,5.387476128254096,29.396589271953616,44.13508895366366,1,3,1
32,22.866270481948405,1.460204909413214,10.005107712646096,36.41198209296037,6.585944776612685,2,3,1
33,19.157258326651785,2.635597534076127,4.159832588654488,40.72450653243596,31.90995984390024,2,3,1
34,20.151350288008164,3.328248932275778,5.756558877364246,36.2660158633313,34.514948139109215,1,3,0
35,21.74492498298318,2.2569444444444446,6.302609427609427,34.94581228956229,28.288089225589225,2,3,0
36,21.35553748845926,3.0843684465236327,8.07226972092273,35.07339893531215,34.98951443781255,2,3,0
37,20.74550218749269,2.918041106318193,6.797485127858129,-1,58.13809241873185,0,3,2
38,24.279848314739063,1.5262732417138238,3.471301535974131,35.603880355699275,14.834276475343575,1,3,1
39,23.0663988272979,2.530245257261216,4.676834722026079,35.28691804359083,28.115143812079275,1,3,1
40,19.57143480918697,2.197557030509231,5.449272128953092,37.03497127558704,32.67890010597356,2,3,1
41,18.770615974784373,2.847473071040385,7.361124670506688,41.01012073285821,34.31937257964789,2,2,2
42,20.855708143290045,3.02234686875317,6.918876987797237,20.72977891816093,42.6589491899633,3,3,4
43,24.98169611405048,2.272727272727273,6.580402565804025,-1,44.56978544569785,0,4,7
44,23.74199625749456,1.546833949922256,8.425821671760227,42.19076725108573,44.79652565546083,1,2,3
45,23.00798963506802,1.7362740497419051,8.930666353824495,32.302909432191456,37.95753167526982,1,2,6
