single_mandate,attendance,early,outside,adm_voters,second_voters,spoilers,opposition,declined
1,25.19,0.54,2.05,11.106576492537313,3.733675373134328,0,5,1
2,19.38,0.22,1.18,7.462405155864339,4.344547033549684,1,4,4
3,19.7,0.37,0.97,10.029984159312061,3.105906313645621,1,4,3
4,21.68,0.34,0.88,11.174269720571194,5.089328436939716,0,4,6
5,21.26,0.38,0.97,6.910149920110599,5.171847201604587,0,4,4
6,20.93,0.29,1.75,7.714315082573837,5.001827360149844,0,4,4
7,20.84,0.37,1.34,9.514083559134562,4.3781053765076985,2,4,3
8,20.02,0.37,1.56,-1,4.042015390664495,2,4,9
9,21.21,0.39,1.47,7.290184321688312,3.850112775399776,3,4,5
10,20.13,0.71,1.24,10.605154832869319,2.37586895998087,1,4,1
11,18.43,0.61,0.86,-1,5.139008295518598,0,4,4
12,20.83,0.65,1.05,10.778577569062191,3.5862299036401195,1,4,3
13,20.65,0.6,1.22,9.248060521370403,2.9706548450826387,1,4,0
14,20.8,0.64,1.41,8.968542394851971,5.227888243327701,0,4,3
15,19.9,0.21,1.41,10.600582849916147,2.79328073021197,1,4,2
16,21.72,0.21,1.25,9.929146118126384,4.182642513700932,1,4,1
17,22.75,0.19,1.41,12.369942196531792,3.8782726963617815,1,4,2
18,23.5,0.18,1.76,9.576912493120528,7.004678040726472,2,4,2
19,22.13,0.17,1.52,11.295175676671827,4.069747961105191,0,4,0
20,22.23,0.19,0.99,-1,4.231733690676785,1,5,1
21,23.91,0.29,1.55,7.678372085605843,7.678372085605843,1,4,0
22,21.27,0.17,1.18,11.82708152857115,3.7960255065818185,0,4,3
23,19.75,0.19,1.37,9.585878699922374,4.006210131965304,0,4,3
24,22.52,0.39,1.93,9.092362689448017,5.889877451260322,1,4,2
25,21.36,0.2,1.57,11.24351180498051,3.530385959243027,1,4,7
26,21.8,0.58,0.64,11.174785100286533,7.030606619523716,0,4,1
27,21.96,0.56,0.84,15.103592248306287,3.1983614305971324,1,2,2
28,21.04,0.59,1.13,9.498533314708759,3.56860162698967,1,4,1
29,20.25,0.58,1.07,7.315654336837038,4.8637299740565405,1,4,2
30,20.01,0.54,0.98,10.076819364750886,3.396983664126924,1,4,1
31,20.76,0.6,1.04,10.806544105245404,3.0602125147579695,1,4,4
32,22.04,0.45,1.33,7.911030484678787,5.22143786725559,2,4,4
33,19.33,0.4,0.73,10.781684940067034,3.4965630858376415,0,4,3
34,19.68,0.3,0.86,8.25378933942396,4.17287099931777,0,4,3
35,21.08,0.26,1.03,7.7631208072608375,4.836236540954958,1,4,3
36,20.89,0.55,1.26,10.427884417773027,3.3177141134722623,0,4,3
37,20.17,0.47,1.03,-1,5.16199323355697,3,4,6
38,24.15,0.16,0.8,-1,5.096933380331336,2,4,2
39,23.14,0.45,0.98,9.040458063298308,6.359403510979677,0,5,1
40,19.83,0.4,1.02,10.136659835593727,3.207534136176288,0,4,2
41,18.5,0.39,1.0,7.43006886464745,3.624230605155707,1,4,1
42,19.74,0.44,1.28,8.93351973437851,4.296377661831889,0,4,3
43,21.26,0.09,1.24,6.0363449802883835,5.823027488254037,0,5,3
44,19.08,0.04,1.35,-1,6.604361370716511,0,4,8
45,20.76,0.11,1.54,8.49601955537938,4.8538301456743635,2,4,1
